Name,Nationality,Age,Games Played,Goals,Own Goals,Assists,Yellow Cards,Red Cards,Second Yellow,Subbed On,Subbed Off,Most Recent Transfer Fee,Value
Trent Alexander-Arnold,England,23,14,1,0,10,1,0,0,0,3,0,75000000
Rúben Dias,Portugal,24,18,0,0,2,3,0,0,2,0,68000000,75000000
Marquinhos,Brazil,27,15,3,0,1,2,0,0,0,0,31400000,75000000
Alphonso Davies,Canada,21,18,0,0,5,1,0,0,1,6,10000000,70000000
Achraf Hakimi,Morocco,23,20,3,0,2,2,1,0,2,1,60000000,70000000
Matthijs de Ligt,Netherlands,22,15,1,0,0,1,0,0,1,1,85500000,70000000
Raphaël Varane,France,28,9,0,0,1,1,0,0,1,1,40000000,70000000
Andrew Robertson,Scotland,27,14,0,0,3,2,0,0,2,2,9000000,65000000
Jules Koundé,France,23,16,0,0,0,0,0,0,0,0,25000000,60000000
Dayot Upamecano,France,23,18,0,0,4,5,0,0,1,2,42500000,60000000
Alessandro Bastoni,Italy,22,18,0,0,1,2,0,0,1,6,31100000,60000000
José María Giménez,Uruguay,26,15,0,0,0,4,0,0,1,2,995000,60000000
Milan Skriniar,Slovakia,26,18,3,0,0,2,0,0,0,0,34000000,60000000
João Cancelo,Portugal,27,20,2,0,6,6,0,0,1,1,65000000,55000000
Virgil van Dijk,Netherlands,30,16,1,0,1,0,0,0,0,0,84650000,55000000
David Alaba,Austria,29,18,2,0,3,1,0,0,0,2,0,55000000
Pau Torres,Spain,24,18,1,0,0,1,0,0,0,0,0,50000000
Theo Hernández,France,24,15,1,0,5,5,0,1,2,1,21500000,50000000
Ferland Mendy,France,26,9,1,0,1,3,0,0,1,3,48000000,50000000
Harry Maguire,England,28,15,1,0,0,3,0,1,0,1,87000000,50000000
Stefan de Vrij,Netherlands,29,15,1,1,0,1,0,0,0,3,0,50000000
Kalidou Koulibaly,Senegal,30,18,2,0,2,4,1,0,0,0,7750000,48000000
Reece James,England,21,15,5,0,5,3,1,0,3,1,0,45000000
Diego Carlos,Brazil,28,19,3,0,0,3,0,1,0,2,15000000,45000000
Caglar Söyüncü,Turkey,25,21,1,0,0,3,0,0,1,1,21100000,45000000
Lucas Hernández,France,25,15,0,0,0,4,0,0,1,6,80000000,45000000
Aymeric Laporte,Spain,27,13,1,0,0,6,1,0,0,3,65000000,45000000
Luke Shaw,England,26,15,0,0,2,5,0,0,0,3,37500000,42000000
Nuno Mendes,Portugal,19,17,0,1,1,4,0,0,5,5,40000000,40000000
Edmond Tapsoba,Burkina Faso,22,10,0,0,0,1,0,0,3,0,18000000,40000000
Aaron Wan-Bissaka,England,24,17,0,0,0,2,1,0,0,0,55000000,40000000
Wesley Fofana,France,20,0,0,0,0,0,0,0,0,0,35000000,40000000
Éder Militão,Brazil,23,18,0,0,1,1,0,0,0,1,50000000,40000000
Ben White,England,24,12,0,0,0,1,0,0,0,1,58500000,40000000
Fikayo Tomori,England,23,16,0,1,0,4,0,0,1,1,28800000,40000000
Presnel Kimpembe,France,26,18,0,0,0,3,0,0,1,2,0,40000000
Raphaël Guerreiro,Portugal,27,10,3,0,1,1,0,0,2,4,12000000,40000000
Ben Chilwell,England,24,12,3,0,1,0,0,0,3,2,50200000,38000000
Ibrahima Konaté,France,22,6,0,0,0,1,0,0,0,0,40000000,35000000
Cristian Romero,Argentina,23,13,0,0,0,5,0,1,1,1,35000000,35000000
Benjamin Pavard,France,25,12,0,0,1,0,1,0,2,4,35000000,35000000
Mario Hermoso,Spain,26,18,0,0,1,4,1,0,1,10,25000000,35000000
José Gayà,Spain,26,11,2,0,2,4,0,0,0,2,0,35000000
Andreas Christensen,Denmark,25,13,1,0,0,1,0,0,1,1,0,35000000
Niklas Süle,Germany,26,18,0,0,1,3,0,0,4,5,20000000,35000000
Lucas Digne,France,28,14,1,1,0,3,0,0,1,1,20000000,35000000
Antonio Rüdiger,Germany,28,18,2,0,2,4,0,0,0,0,35000000,35000000
Davinson Sánchez,Colombia,25,11,0,0,0,2,0,0,3,0,42000000,32000000
Kieran Tierney,Scotland,24,8,0,0,0,0,0,0,0,2,27000000,32000000
Nathan Aké,Netherlands,26,8,1,0,0,0,0,0,2,0,43500000,32000000
Kurt Zouma,France,27,11,1,0,0,1,0,0,0,1,35000000,30000000
Sergiño Dest,United States,21,14,0,0,3,1,0,0,2,6,35000000,30000000
Manuel Akanji,Switzerland,26,21,0,0,0,2,0,0,1,0,21500000,30000000
Gianluca Mancini,Italy,25,19,1,0,0,6,0,0,0,0,21000000,30000000
Joe Gomez,England,24,7,0,0,0,0,0,0,4,0,4900000,30000000
Tyrone Mings,England,28,12,1,0,1,4,0,0,1,0,22300000,30000000
Ricardo Pereira,Portugal,28,11,0,0,2,2,0,0,1,3,22000000,30000000
John Stones,England,27,7,0,1,0,0,0,0,1,0,55600000,28000000
Benoît Badiashile,France,20,24,0,0,1,6,0,0,2,3,0,28000000
Maxence Lacroix,France,21,16,0,0,0,4,1,1,0,2,5000000,28000000
Evan N'Dicka,France,22,16,1,0,1,2,0,0,1,0,5500000,28000000
Sven Botman,Netherlands,21,15,2,0,0,2,0,0,0,1,8000000,28000000
Merih Demiral,Turkey,23,14,1,0,1,5,0,0,1,5,18000000,28000000
Timothy Castagne,Belgium,25,15,0,0,0,0,0,0,3,0,20000000,28000000
Nélson Semedo,Portugal,28,16,0,0,0,1,0,0,2,5,32000000,28000000
Oleksandr Zinchenko,Ukraine,24,8,0,0,0,2,0,0,3,1,2000000,28000000
Kyle Walker,England,31,16,1,0,0,1,0,0,0,3,52700000,27000000
Lukas Klostermann,Germany,25,13,0,0,1,2,0,0,1,4,1000000,27000000
Matthias Ginter,Germany,27,13,0,0,0,0,0,0,0,1,17000000,26000000
Leonardo Spinazzola,Italy,28,0,0,0,0,0,0,0,0,0,29500000,25000000
Roger Ibañez,Brazil,23,21,3,0,0,3,0,0,3,0,9000000,25000000
Lisandro Martínez,Argentina,23,19,0,0,4,3,0,0,1,4,7000000,25000000
Ronald Araújo,Uruguay,22,14,1,0,0,2,0,0,6,1,4700000,25000000
Renan Lodi,Brazil,23,16,0,0,1,0,0,0,13,3,20600000,25000000
Emerson Royal,Brazil,22,16,0,0,0,2,0,0,5,1,25000000,25000000
Gabriel,Brazil,23,11,1,0,0,1,0,0,0,1,26000000,25000000
Nikola Milenkovic,Serbia,24,14,2,0,0,2,0,1,0,0,5100000,25000000
Ezri Konsa,England,24,13,0,0,0,1,1,0,1,1,13300000,25000000
Robin Le Normand,France,25,19,0,0,0,3,0,0,0,1,0,25000000
Nordi Mukiele,France,24,18,2,1,1,2,0,0,4,3,16000000,25000000
Ben Godfrey,England,23,11,0,0,0,2,0,0,0,2,27500000,25000000
Sergio Reguilón,Spain,24,14,1,0,2,1,0,0,1,4,30000000,25000000
Jason Denayer,Belgium,26,15,2,0,1,1,0,0,3,1,10000000,25000000
Davide Calabria,Italy,24,14,2,0,1,2,0,0,1,2,0,25000000
Jan Bednarek,Poland,25,12,0,0,0,3,0,0,2,1,6000000,25000000
Abdou Diallo,Senegal,25,10,0,0,1,2,0,0,0,3,32000000,25000000
Thilo Kehrer,Germany,25,14,0,0,0,1,0,0,4,1,37000000,25000000
Nico Elvedi,Switzerland,25,14,0,0,1,1,0,0,0,1,4000000,25000000
James Tarkowski,England,29,13,1,0,2,6,0,0,0,0,4000000,25000000
Iñigo Martínez,Spain,30,12,2,0,0,2,1,1,0,0,32000000,25000000
Lewis Dunk,England,30,14,0,0,0,0,0,0,1,0,0,25000000
Daniel Carvajal,Spain,29,13,1,0,0,1,0,0,3,6,6500000,25000000
Conor Coady,England,28,15,1,0,0,1,0,0,1,1,2800000,25000000
Michael Keane,England,28,15,1,0,2,0,0,0,1,0,28500000,25000000
Stefan Savic,Montenegro,30,13,0,1,0,2,0,0,0,0,12000000,24000000
Victor Lindelöf,Sweden,27,15,0,0,2,1,0,0,1,0,35000000,24000000
Giovanni Di Lorenzo,Italy,28,19,1,0,2,4,0,0,0,0,8000000,23000000
Odilon Kossounou,Cote d'Ivoire,20,17,0,0,2,1,0,0,4,1,23000000,22000000
Max Aarons,England,21,17,0,1,1,5,0,0,1,1,0,22000000
Matty Cash,Poland,24,14,1,0,1,4,0,0,0,3,15750000,22000000
Marash Kumbulla,Albania,21,9,0,0,0,2,0,0,4,2,26500000,22000000
Ramy Bensebaini,Algeria,26,8,2,0,1,1,0,0,1,0,8000000,22000000
Joachim Andersen,Denmark,25,13,0,0,1,3,0,0,1,0,17500000,22000000
Jonathan Tah,Germany,25,19,0,0,2,2,0,0,0,0,7500000,22000000
Alejandro Grimaldo,Spain,26,22,3,0,4,2,0,0,2,9,2100000,22000000
Eric Dier,England,27,15,0,1,0,0,0,0,1,1,5000000,22000000
Berat Djimsiti,Albania,28,13,0,0,1,1,0,0,4,1,0,20000000
Pedro Porro,Spain,22,16,3,0,2,6,0,0,5,7,0,20000000
Eric García,Spain,20,16,0,0,0,3,1,1,2,3,20000000,20000000
Dodô,Brazil,23,23,0,0,4,1,0,0,1,1,2000000,20000000
Marc Guehi,England,21,19,3,0,0,1,0,0,1,0,23340000,20000000
