Name,Nationality,Age,Games Played,Goals,Own Goals,Assists,Yellow Cards,Red Cards,Second Yellow,Subbed On,Subbed Off,Transfer Fee,Value
Kevin De Bruyne,Belgium,30,14,3,0,1,1,0,0,4,6,76000000,100000000
Frenkie de Jong,Netherlands,24,16,1,0,2,3,0,1,0,2,86000000,90000000
Bruno Fernandes,Portugal,27,21,5,0,9,4,0,0,4,6,63000000,90000000
Joshua Kimmich,Germany,26,18,3,0,4,1,0,0,0,3,8500000,90000000
Pedri,Spain,19,5,0,0,0,0,0,0,1,2,20000000,80000000
Phil Foden,England,21,14,5,0,4,0,0,0,4,4,0,80000000
Marcos Llorente,Spain,26,14,0,0,1,2,0,0,1,3,30000000,80000000
Mason Mount,England,22,16,3,0,2,0,0,0,8,4,0,75000000
Jude Bellingham,England,18,20,3,0,7,4,0,0,0,6,23000000,70000000
Declan Rice,England,22,17,3,0,3,5,0,0,0,2,0,70000000
Rodri,Spain,25,17,2,0,0,3,0,0,1,2,62700000,70000000
Kai Havertz,Germany,22,17,4,0,2,0,0,0,5,6,80000000,70000000
Sergej Milinković-Savić,Serbia,26,20,4,0,4,4,0,0,6,8,12000000,70000000
Bernardo Silva,Portugal,27,19,4,0,2,3,0,0,2,6,50000000,70000000
Leon Goretzka,Germany,26,17,2,0,2,0,0,0,0,8,3250000,70000000
Casemiro,Brazil,29,18,0,0,2,5,0,0,1,3,6000000,70000000
Florian Wirtz,Germany,18,17,8,0,9,2,0,0,4,11,200000,65000000
Bukayo Saka,England,20,15,3,0,2,1,0,0,2,8,0,65000000
Federico Valverde,Uruguay,23,13,0,0,1,0,0,0,3,4,5000000,65000000
Nicolò Barella,Italy,24,19,1,0,6,3,0,0,0,11,32500000,65000000
Wilfred Ndidi,Nigeria,24,14,1,0,0,2,0,1,1,0,17600000,60000000
Fabinho,Brazil,28,14,1,0,1,3,0,0,3,2,45000000,60000000
Paul Pogba,France,28,13,0,0,7,4,1,0,3,4,105000000,60000000
Koke,Spain,29,16,0,0,1,3,0,0,0,4,0,60000000
Eduardo Camavinga,France,19,23,2,0,1,6,0,0,13,6,31000000,55000000
Franck Kessié,Cote d'Ivoire,24,15,2,0,1,1,0,1,3,3,24000000,55000000
Youri Tielemans,Belgium,24,17,3,0,3,2,0,0,1,3,45000000,55000000
N'Golo Kanté,France,30,12,2,0,0,1,0,0,2,8,35800000,55000000
Marco Verratti,Italy,29,8,0,0,0,5,0,0,0,6,12000000,55000000
Jamal Musiala,Germany,18,18,4,0,4,0,0,0,14,4,0,50000000
James Maddison,England,25,19,3,0,4,1,0,0,7,11,25000000,50000000
Dani Olmo,Spain,23,7,0,0,1,0,0,0,3,4,22000000,50000000
Piotr Zielinski,Poland,27,17,5,0,2,0,0,0,3,12,16000000,50000000
Christopher Nkunku,France,24,20,13,0,9,0,0,0,1,7,13000000,47000000
Tanguy Ndombélé,France,24,12,2,0,0,2,0,0,4,6,60000000,45000000
Fabián Ruiz,Spain,25,17,4,0,3,2,0,0,1,5,30000000,45000000
Lorenzo Pellegrini,Italy,25,18,8,0,3,2,0,0,1,6,10000000,45000000
Jorginho,Italy,29,18,4,0,1,1,0,0,3,6,57000000,45000000
