Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
31.50,17,0,2,0,1458,23,61.20
61.20,12,3,1,280,840,23,45.18
36.00,8,1,0,587,587,25,40.77
45.18,20,3,2,534,1601,21,38.70
25.20,81,2,1,3298,6596,19,31.50
40.77,14,0,0,0,1109,26,28.80
48.60,14,1,2,1125,1125,23,27.00
38.70,11,0,0,0,981,22,24.75
9.00,11,1,0,945,945,22,23.40
31.50,19,1,0,1710,1710,24,18.90
36.00,14,0,3,0,1066,19,18.90
28.80,11,1,0,832,832,27,18.00
22.50,15,0,0,0,1225,24,18.00
27.00,7,0,0,0,439,28,15.12
14.40,2,0,0,0,96,22,14.85
24.75,15,0,0,0,789,22,14.76
18.00,14,1,1,1232,1232,23,14.18
23.40,5,1,0,359,359,27,13.50
19.80,9,1,0,475,475,30,13.50
18.90,19,0,1,0,1709,32,13.50
16.20,11,1,1,807,807,23,11.97
18.90,1,0,0,0,90,24,11.70
18.00,19,1,0,1350,1350,22,11.70
18.00,10,0,2,0,699,24,11.70
16.20,6,0,0,0,403,23,10.89
10.80,16,0,0,0,1309,31,10.80
10.80,15,1,0,1343,1343,21,10.80
10.80,17,0,0,0,1300,23,10.80
10.80,12,0,1,0,885,21,10.62
9.90,18,1,2,1280,1280,28,10.13
10.80,16,1,1,1056,1056,23,9.90
16.20,9,0,1,0,617,24,9.90
10.62,20,2,6,883,1766,20,9.90
10.80,6,0,1,0,280,18,8.82
10.13,12,0,0,0,883,30,8.55
9.00,21,1,3,1781,1781,26,7.20
9.90,8,1,0,197,197,28,7.20
3.60,3,0,0,0,119,21,7.20
9.90,12,1,0,1080,1080,20,7.20
3.60,23,0,8,0,1776,23,7.20
9.90,0,0,0,0,0,22,7.20
3.24,4,0,0,0,360,22,6.30
8.82,10,0,0,0,475,21,6.30
4.50,5,0,0,0,181,20,6.21
8.55,18,3,2,501,1502,25,5.85
13.50,9,1,0,771,771,24,5.67
7.20,3,0,0,0,270,26,5.40
8.10,14,0,2,0,943,18,5.40
7.20,21,2,5,774,1547,25,5.40
1.62,14,0,2,0,926,28,5.40
3.15,11,0,0,0,257,22,5.18
5.18,6,0,1,0,445,19,4.95
5.40,13,0,1,0,816,21,4.91
4.95,9,0,0,0,333,25,4.68
3.60,2,0,0,0,119,19,4.50
4.91,3,0,0,0,206,26,4.50
3.60,16,0,0,0,1422,20,4.50
4.68,16,0,1,0,1276,20,4.50
4.05,13,1,2,1091,1091,28,4.05
