Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
58.50,15,2,3,541,1082,25,105.75
105.75,12,4,1,211,842,28,103.50
90.00,16,2,0,404,808,21,76.50
103.50,20,8,2,186,1491,23,36.00
90.00,12,1,1,715,715,24,34.56
76.50,8,1,2,392,392,24,28.80
34.20,20,4,2,297,1188,22,27.00
36.00,12,6,1,105,631,22,27.00
31.50,10,3,2,276,829,29,26.48
34.56,14,1,1,1063,1063,23,26.19
31.50,13,2,2,134,267,22,23.40
28.80,13,0,1,0,629,20,22.50
27.00,11,3,3,214,643,23,21.15
27.00,17,7,3,169,1186,24,21.15
19.80,20,5,5,236,1178,25,20.70
27.00,16,6,4,172,1029,28,18.00
19.80,16,2,4,429,858,27,17.10
26.48,17,3,3,366,1098,23,16.20
16.20,13,2,3,528,1056,24,15.93
26.19,18,2,5,338,675,26,15.75
27.00,18,4,4,257,1028,25,15.30
23.40,19,1,1,715,715,20,15.30
27.00,21,6,2,199,1193,23,14.67
22.50,18,6,0,177,1061,24,14.40
19.80,16,10,2,122,1222,36,13.50
13.50,20,14,2,114,1600,27,13.50
13.50,10,1,0,606,606,22,13.50
12.60,10,5,1,124,622,24,13.50
13.50,20,5,2,237,1187,19,13.50
10.80,14,4,4,241,964,22,13.05
13.50,17,6,7,242,1453,24,12.60
8.10,13,2,2,501,1002,24,11.52
13.50,10,3,2,181,542,25,10.80
18.00,15,1,3,775,775,24,10.80
13.05,21,5,5,199,994,19,10.80
15.30,9,2,2,170,339,19,9.90
12.60,14,0,1,0,828,25,9.90
13.50,17,4,3,326,1303,25,9.82
11.52,18,6,2,207,1239,30,9.00
13.50,14,7,2,167,1167,29,9.00
10.80,38,4,3,366,1463,18,9.00
12.60,7,5,1,48,240,24,9.00
10.80,14,9,0,109,979,20,9.00
3.60,15,4,1,227,909,21,8.55
10.80,11,4,0,196,782,27,8.10
10.80,12,0,1,0,749,21,8.10
9.90,14,2,1,260,519,24,7.65
8.10,15,6,1,129,774,28,7.56
9.90,18,7,0,155,1086,22,7.20
9.00,5,0,0,0,141,29,7.20
2.70,30,8,1,138,1102,20,7.20
7.20,14,0,2,0,768,27,6.75
6.30,18,2,1,521,1042,21,6.75
6.75,14,4,1,181,723,23,6.39
5.40,14,2,0,194,388,21,6.30
6.75,19,9,5,177,1596,23,6.30
4.50,10,0,1,0,383,20,6.03
6.39,25,1,7,2246,2246,22,5.85
31.50,22,13,3,111,1438,23,5.85
6.30,27,8,6,219,1751,22,5.73
5.40,18,5,3,293,1463,25,5.73
6.30,19,1,1,378,378,23,5.56
9.90,10,1,0,718,718,21,5.40
6.03,22,5,7,360,1802,22,5.40
4.95,11,1,1,743,743,29,5.40
5.85,15,1,2,1050,1050,25,5.40
4.50,8,0,0,0,122,29,5.40
5.85,20,5,2,209,1047,28,5.40
7.65,40,12,4,199,2392,22,5.40
5.73,19,7,7,194,1359,29,4.95
6.75,17,4,2,246,984,26,4.95
5.73,14,4,0,235,938,25,4.95
2.70,43,29,7,116,3362,26,4.86
5.56,15,6,1,129,774,28,4.61
19.80,14,4,1,116,465,27,4.50
9.00,16,3,3,283,850,23,4.50
4.50,13,0,2,0,331,18,4.50
4.95,14,0,2,0,753,20,4.50
4.50,15,1,1,837,837,24,4.05
4.50,34,4,4,326,1303,22,4.05
4.50,13,1,0,726,726,19,4.05
6.30,13,4,0,206,822,18,4.05
4.05,12,3,1,292,877,27,4.05
3.42,8,3,2,236,707,25,3.83
4.05,6,1,0,207,207,22,3.60
2.70,14,1,1,448,448,27,3.60
4.05,14,5,5,192,958,23,3.60
2.70,25,7,5,237,1656,19,3.60
4.05,20,10,0,120,1202,17,3.60
2.25,13,3,1,267,802,25,3.15
4.05,3,0,1,0,105,20,3.15
7.65,17,5,0,111,554,22,3.15
3.83,14,2,2,357,714,22,3.15
6.30,16,4,1,341,1362,25,3.15
3.60,16,8,4,176,1405,27,3.15
4.50,12,2,2,474,948,26,3.15
