Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
36.00,12,1,1,720,720,22,31.50
31.50,18,0,2,0,1080,27,31.50
34.20,19,1,1,646,646,18,27.90
31.50,16,0,2,0,806,23,27.00
49.50,12,0,0,0,766,21,26.46
27.90,30,2,5,1059,2117,24,22.50
27.00,8,2,2,192,383,23,20.70
27.00,16,2,0,530,1060,22,18.45
14.40,18,0,1,0,1175,22,18.00
26.46,16,0,5,0,1283,24,16.20
18.00,11,0,7,0,782,25,16.20
22.50,14,0,0,0,917,21,15.75
11.70,15,0,1,0,1034,18,15.21
20.70,5,0,0,0,96,18,14.40
22.50,16,1,0,958,958,29,14.40
18.45,13,1,2,543,543,21,14.40
25.20,14,0,0,0,467,27,13.50
18.00,19,2,2,236,471,24,13.50
31.50,20,0,2,0,1180,26,12.60
16.20,20,0,2,0,1082,23,10.80
13.50,23,6,6,237,1423,23,10.80
16.20,40,8,9,373,2984,24,10.80
10.80,16,0,0,0,934,23,9.90
15.75,6,0,0,0,230,20,9.90
9.00,3,0,0,0,255,18,9.90
0,1,0,0,0,23,17,9.90
9.90,13,4,8,228,912,28,9.13
4.95,15,1,3,1344,1344,25,9.00
9.13,5,0,0,0,331,22,9.00
13.50,14,0,0,0,792,23,9.00
9.00,8,0,0,0,393,22,8.55
10.80,10,1,3,329,329,19,8.37
9.00,4,1,1,353,353,30,7.20
5.40,14,9,3,138,1245,27,7.20
9.00,15,2,1,631,1261,24,7.20
7.20,15,1,4,1001,1001,21,7.20
8.55,8,0,0,0,549,18,7.20
13.50,12,1,3,796,796,20,6.75
8.37,15,3,3,328,985,23,6.75
25.20,11,0,1,0,830,23,6.30
7.20,0,0,0,0,0,26,6.30
9.00,15,1,2,834,834,21,6.30
7.20,16,0,0,0,479,19,6.30
8.10,17,2,2,569,1138,21,6.30
7.20,19,2,2,590,1179,21,6.21
8.10,16,1,2,721,721,24,6.17
7.20,21,1,2,1402,1402,22,6.08
6.12,8,0,1,0,426,26,6.03
7.20,14,5,0,198,990,26,5.85
7.20,14,0,1,0,435,21,5.85
5.85,21,4,1,427,1708,24,5.85
5.85,9,1,0,226,226,20,5.85
4.50,16,0,1,0,623,29,5.40
5.85,15,5,3,259,1295,26,5.40
13.50,5,0,0,0,291,25,5.40
5.40,10,0,1,0,815,28,5.40
12.60,16,0,0,0,1066,24,5.40
5.40,26,3,4,750,2249,19,5.40
9.90,11,0,0,0,603,27,5.40
5.40,14,0,3,0,1103,20,5.40
6.30,14,0,0,0,945,27,4.95
5.40,17,0,1,0,1412,20,4.73
5.40,10,0,1,0,401,23,4.68
5.40,9,0,1,0,452,26,4.50
